,video,title,tags,description,category,caption
0,N7gqhypmyAE,The Busy Genie Indoor Playground,"TBG,Final",The Busy Genie Indoor Playground - Etobicoke (Toronto),Kids indoor play,true
1,-olpkKs-i1c,4 Indoor Easter Games for Kids To Play At Home,"shawnmhowell,indoor easter games for kids to play at home,indoor games forkids,games for kids,kids games indoor,easter games","Play these 4 Easter games at home indoor with your children if you all are bored and need some new ideas to entertain the kids. Playing easter games together, as a family, helps you grow closer together, brings positivity, and laughter to brighten everyone's day. We love having fun together and want to share that fun with you.  I am passionate about bringing families back together through the lost art of fun and games. I am often guilty of relying on technology to entertain my kids. But when I use simple supplies around my home to create fun games and activities I hear laughter and know I am making great memories. 
#easter

Watch more Easter Games: https://youtu.be/T678DP0AeQ4

Hand Cut Outs: https://amzn.to/2QWTHif
Bunny Feet Cut Outs: https://amzn.to/39fQJM3
Bulk Plastic Easter eggs: https://amzn.to/2UhbFxY
Wind Up Butterflies: https://amzn.to/39cnidt
Rubber Ducks: https://amzn.to/2Uy98hB
As an Amazon Associate, I earn from qualifying purchases.

FREE Birthday Party Planning Worksheet with code ""BDAYFREE"": https://www.shawnmhowell.com/shop

🔴Subscribe to my YouTube channel: https://goo.gl/r7kbvi
Email me: shawnhowellprayerlights@gmail.com 
—————————————
🔴FOLLOW ME👣
Facebook: https://www.facebook.com/Prayerlights36/
Instagram: https://www.instagram.com/prayerlightsgames/

****************************
For Business Inquires email: shawnhowellprayerlights@gmail.com
****************************

🎬EQUIPMENT SETUP:
Ring Light: http://amzn.to/2qVnRI2
Canon G7x mark ii: https://amzn.to/2DKJ9O3

🔴SUPPORT MY CHANNEL
Buy me a Coffee to show your appreciation!
http://ko-fi.com/prayerlights

DISCLAIMER: This video and description contains affiliate links, which means that if you click on one of the product links, I’ll receive a small commission. This helps support the channel and allows us to continue to make videos like this. Thank you for the support!",Kids indoor play,true
2,19CJg3lNvt4,Kids having fun at indoor playground,"Playground,kids","Spending some time together with the kids at the indoor playground located in IOI Mall, Puchong (Selangor,Malaysia).",Kids indoor play,true
3,SXbobYIPtUA,Fun Indoor Playground for Toddlers and Kids.,"fun,kids,play,playground,indoor playground,colorful,pitballs,balls,ball,slide,slides,kids car,children,baby,toys,toy car,toddlers,kid","Fun Indoor Playground for Toddlers and Kids. Colorful Pitballs, Toys Cars and Slides! 

Subscribes our channel Monica Girl for more kids videos!
https://www.youtube.com/watch?v=aONhSTdG_6Q
https://www.youtube.com/watch?v=AuIi9ajXNVQ",Kids indoor play,true
4,ONTcxB2LusQ,Kids activities I Playground outdoor activities I Fun activities for kids,"kids activities,outdoor playsets,indoor playground,playground,fun activities for kids,outdoor activities,holiday activities for kids,activity for kids,playground set,outdoor playground,playground slide,summer activities for kids,math playground,kids playground,backyard playground,mathplayground,school playground,outdoor play sets,kids outdoor play equipment,playground toys,kids outdoor play,indoor activities for kids,toddler playground","#activities #kidsactivities #playground #outdooractivities #kidsplayground

Ravia & Rivaan went to the nearby playground. They had swings, slides and train ride there and played hide & seek. 
Ravia also tried to play ""twinkle twinkle little star"" and then she started singing ""Wheels on the bus"" Children/kids song. 
Next day we went to another playground which was beautiful and huge. Watch the video and enjoy with them.


Follow us on for more exciting fun videos:

wooden playground, fun outdoor activities, playground swings, playground design, outdoor games for kids, kids water park, indoor playground equipment, playground padding, school playground equipment, kids indoor playground, playground equipment swings, playground accessories, outdoor play structures, playground supplier, kids outdoor playset, kids theme parks, children playground, used playground equipment, playground equipment for sale, play equipments for children's play area, playground for sale, playground safety, park playground equipment, children's outdoor play equipment, playground edging, indoor soft playground, kids playground equipment, childrens outdoor playset, playground equipment slides, outdoor activities for kids, toddler playground equipment, the playground, playground games, playground swing sets, children play area, playground installation, playground equipment for children, childrens indoor play equipment, playground monkey bars, kids activities nyc, rainbow playground, playground material, natural playground equipment, soft playground, children's play set, kids fun park, playground parts, playground cover, playground cargo net, a playground, dog playground equipment, natural playground, playground equipment supplier, outdoor play area, home playground, outdoor play gym, playground play equipment, outside playground equipment, playground slide for sale, fun summer activities for kids, outside activities for kids, playground products, activities for outdoors, playground company, fun outdoor games for kids, outdoor playground for kids, indoor playground for sale, kids activities chicago, play playground, local activities for children, daycare playground, infant playground equipment, backyard playground sets, playground equipment manufacturers, playground supplies, children indoor playground, plastic playground, merry go round playground, playground tunnel, outdoor fun for kids, outside playground, kids outdoor playground equipment, kids playground set, children play equipment, playground ground cover, home playground equipment, commercial playground swings, childrens indoor play area, fun outdoor games, build a playground, playground systems, playground games for kids, children's playground equipment, family outdoor activities, outdoor activities for children, adventure playground, children play area near me, childrens playground, custom playground, kids in the park, outdoor kids, commercial indoor playground equipment, outdoor games for toddlers, kids park, purchase playground equipment, outdoor games for children, playground equipment parts, commercial playground slides, kids amusement parks, commercial playground sets, timber playground equipment, childrens outdoor equipment, cheap playground, local kids activities, soft playground equipment, playground play, kids playground near me, playground instruments, outdoor play systems, metal playground slide, national parks for kids, the kids playground, playground slide swing, playground kits, kids park near me, playground with kids, metal playground equipment, playground ideas, children's play area equipment, outside activities for children, children park, fun family outdoor games, children's play park equipment, outdoor play activities for toddlers, wooden outdoor play equipment, plastic playground set, climbing playground equipment, kids holiday parks, outside activities for toddlers, commercial grade playground equipment, kids home playground, grants for playground equipment, commercial outdoor play equipment, safe playground equipment, park for kids, slides for children's playground, home playground sets, wooden outdoor playset, outdoor play area equipment, slide outdoor play equipment, outdoor learning activities, every kid in a park, cool math playground, outdoor climbing play equipment, playground com, kids park hours,",Kids indoor play,true
5,IJ4eMMc4Omk,Indoor Playground for Children: fun climbing and sliding together,"indoor playground for children,indoor playground,indoor playground for kids,JackJackPlays,indoor playground fun,indoor playground fun cool,indoor recess,indoor fun for kids,indoor slide","An indoor playground for children is today's destination. Watch Jack Jack and his big sister Ruth have fun climbing through the tunnels and slipping down the slides.

If you like Jack's adventures, try https://www.youtube.com/watch?v=6DyHiFD_ufU&list=PL5cO2Q3LtfOfffwaLvFgUsMY5rWXtQhUt

If you like big toy trucks, check out: https://www.youtube.com/playlist?list=PL5cO2Q3LtfOcALb3EdDd7ejuKinOL1ebf

Make sure to give subscribe and share our videos to show you support.  We appreciate it!

http://youtu.be/IJ4eMMc4Omk",Kids indoor play,true
6,7mg93tb81o8,CHILDREN'S MUSEUM Pretend Play Indoor Playground Giant Mouth Toothbrush,"Giatube,gialand,toysreview,Learn How to Brush your teeth,Brush your teeth,Giant Mouth and Toothbrush,Giant toothbrush,Children museum miami,toothbrush,giant mouth,children's museum miami free,children's museum miami reviews,kids friendly video,Clean your tounge,brush teeth,mouth,inside mouth,fisher price rocker,toys surprises,pretend dentist,Ryan ToysReview,pretend play,pretend doctor,playground,indoor playground,children's museum,kids nursery songs","We saw this giant mouth and toothbrush at the children's museum miami. It was awesome Gia was able to sit inside the mouth while mommy used the giant toothbrush to clean her up. So, we decided to make a video to encourage kids to bush their teeth. learn how to brush your teeth from Gia by watching this video. Gia first puts the toothpaste on her pony toothbrush, she tries to brush herself but then seeks help from daddy. After she is done, she cleans her tongue, cleans her brush and squish her mouth with water. Keep 
an eye for our video children's museum miami reviews.
 Learn How to Brush your teeth from 3 yr old.



😀 Don't miss our new videos!
 Please  🐼ＳＵＢＳＣＲＩＢＥ 👉 [  https://goo.gl/qAkMHn  ] 
💓Please give this video a 👍 if you loved it & share it with your friends 🎀 We love reading your feedback! Please write your thoughts below!!! 
👯 GiaTube

 ⭐ Please watch our other videos:
OUR LATEST UPLOADS
➡️ https://goo.gl/QjxGvx
OUR POPULAR UPLOADS
➡️ https://goo.gl/6NFFCa
HALLOWEEN GIANT SURPRISE EGG GIANT PUMPKIN Opened by WITCHES
➡️ https://www.youtube.com/watch?v=Iisl3USlnOA&t=1s
 Disney Princess Belle Costume HAIR and Makeup
➡️ https://www.youtube.com/watch?v=TzLizcYC82I&t=1s 
GIANT Disney Princesses Activity Kit With Colors, Stickers, Paints, and More
➡️ https://www.youtube.com/watch?v=JDLXGq2h82o&t=57s
KID plans Surprise Party for Mommy's Birthday!!
➡️ https://www.youtube.com/watch?v=7BhjYCHNz_8&t=251s
PLAYLIST of all our videos 
➡️ https://www.youtube.com/user/GiasLand/playlists

Follow us on:
Facebook:  https://www.facebook.com/GiaTube1/
Google+:  https://plus.google.com/u/0/118275442533674937706
Instagram:  https://www.instagram.com/giatube1/
Pinterest:  https://za.pinterest.com/giatube/giatube/
Twitter:  https://twitter.com/TheGiaTube

💡About GiaTube
Welcome to GiaTube!!

Gia is almost 4 and a huge youtube fan. One day she asked her daddy for her youtube channel and here we are. She recruited her dad for management/shooting and mommy for acting along with her.

Gia loves to play with different toys and her favorites are Peppa pig and friends, Shopkins, Doc Mcstuffin, Elsa & Ana(frozen), play doh, surprise eggs, Disney toys and so much more. She loves dressing up and you will find her dressing up in various princess characters (Rapunzel, Cinderella, Belle), witches etc. She if fond of toys and we review a lot of toys. You will find her in the play ground, dancing around, playing with toys, shopping for toys, acting on her skits and whole lot more.
Thank you for coming to our channel. 
Please subscribe and share if you like our videos, it will really help us.
This channel is manager by parent.
All Content © 2017 GiaTube™. All Rights Reserved.",Kids indoor play,true
7,JyMpD0oQXVo,Kidsports-Indoor Playground,"3399862909001,Amusement Place,kids parties,Indoor Playground,Amusement Places,Mississauga,Party Planning Service,Kids Party Places,ypgvideo,Kids Indoor Playground,Kids Party Rooms,kids entertainment,Indoor Kids Parties,MRSS,on,Kids Amusement Places","Catering to children under age one right up to age 12, Kidsports in Mississauga is an 18,000 square foot indoor playground paradise!
The main play structure, the Adventure Challenge, is a three-level maze, full of brightly-coloured tunnels, tubes...",Kids indoor play,true
8,ZDPYDTUqYZg,Gym1 Indoor Playground At Home Testimonial - Robby,"gym1,gym 1,gym,indoor,playground,sensory,processing,disorder,nervous,system,autism,spectrum,swing,rings,ladder,rope,trapeze,calm,calming,kids,children,benefits",At home testimonial from a Gym1 customer and Pediatric Occupational Therapist. She discusses the benefits of Gym1: Calming for the nervous system; Organizing and alerting; Enables children to perform at their optimal level; Regulates children's nervous system.,Kids indoor play,true
9,wWStHXBf3DA,Kids Time Family Fun Center Indoor Playground Mississauga GTA,"Kids Indoor Playground,Birthday Parties,Kids Birthday Parties","Kids Time Family Fun Center Indoor Playground Mississauga GTA - Kids Time is an awesome, two-storey, indoor playground and birthday party experience for your child, family and friends of all ages to enjoy indoor birthday parties together. Mini Golf - Arcade - Multilevel Play Structure - Toddler Area - Ball Pit - Helicopter - Jumbo Slides - Shopping Stall -Kitchen Center - and more to entertain everyone of every age - children, teenagers and adults. Enjoy beverages & snacks at our Café. Kids drop off services also available. Encourage your child''s physical activity. Click the red GO button or call Jatinder at 905-820-2525 for special packages & pricing. Pre-book your child''s birthday party or playtime at Kids Time Family Fun Center Indoor Playground Mississauga GTA.To find out more: http://www.shopintoronto.com/Kids-Time-Family-Fun-Center-Indoor-Playground-Mississauga-GTA/633648.htm",Kids indoor play,true
